"","assessid","tsyear","pt_avail","ssb","r","total","f","cpue","catch_landings"
"1","ADFG-HERRPWS-1980-2006-COLLIE",1980,5,48270.35,414070,52824.36,0.181,NA,71940
"2","ADFG-HERRPWS-1980-2006-COLLIE",1981,5,51090.88,335200,63262.2,0.254,NA,127730
"3","ADFG-HERRPWS-1980-2006-COLLIE",1982,5,47402.54,112300,54244.23,0.159,NA,66270
"4","ADFG-HERRPWS-1980-2006-COLLIE",1983,5,56449.01,103740,58999.78,0.06,NA,23820
"5","ADFG-HERRPWS-1980-2006-COLLIE",1984,5,64461.28,1062360,69818.6,0.118,NA,59420
"6","ADFG-HERRPWS-1980-2006-COLLIE",1985,5,79124.61,99630,85627,0.11,NA,62410
"7","ADFG-HERRPWS-1980-2006-COLLIE",1986,5,65601.06,74880,75240.88,0.165,NA,84140
"8","ADFG-HERRPWS-1980-2006-COLLIE",1987,5,70646.42,84820,75470.75,0.114,NA,57610
"9","ADFG-HERRPWS-1980-2006-COLLIE",1988,5,93508.2,1006440,101382.44,0.123,NA,92680
"10","ADFG-HERRPWS-1980-2006-COLLIE",1989,5,105135.41,119970,105135.41,0.006,NA,4900
"11","ADFG-HERRPWS-1980-2006-COLLIE",1990,5,84252.14,158830,93423.68,0.117,NA,79400
"12","ADFG-HERRPWS-1980-2006-COLLIE",1991,5,71852.32,79530,84716.2,0.237,NA,143910
"13","ADFG-HERRPWS-1980-2006-COLLIE",1992,5,80238.46,163880,96611.72,0.256,NA,192220
"14","ADFG-HERRPWS-1980-2006-COLLIE",1993,5,31921.39,158360,33859.58,0.08,NA,22970
"15","ADFG-HERRPWS-1980-2006-COLLIE",1994,5,16738.8,270270,16738.8,0,NA,0
"16","ADFG-HERRPWS-1980-2006-COLLIE",1995,5,15675.86,122710,15675.86,0,NA,0
"17","ADFG-HERRPWS-1980-2006-COLLIE",1996,5,19882.23,23810,19882.23,0.032,NA,4220
"18","ADFG-HERRPWS-1980-2006-COLLIE",1997,5,24354.8,27890,28122.21,0.225,NA,39570
"19","ADFG-HERRPWS-1980-2006-COLLIE",1998,5,20521.21,20310,23452.01,0.211,NA,34270
"20","ADFG-HERRPWS-1980-2006-COLLIE",1999,5,16291.61,295420,16335.04,0.004,NA,420
"21","ADFG-HERRPWS-1980-2006-COLLIE",2000,5,13936.21,83670,13936.21,0,NA,0
"22","ADFG-HERRPWS-1980-2006-COLLIE",2001,5,10683.51,50050,10683.51,0,NA,0
"23","ADFG-HERRPWS-1980-2006-COLLIE",2002,5,13007.92,55320,13007.92,0,NA,0
"24","ADFG-HERRPWS-1980-2006-COLLIE",2003,5,17576.62,30310,17576.62,0,NA,0
"25","ADFG-HERRPWS-1980-2006-COLLIE",2004,5,19301.84,NA,19301.84,0,NA,0
"26","ADFG-HERRPWS-1980-2006-COLLIE",2005,5,13207.83,NA,13207.83,0,NA,0
"27","ADFG-HERRPWS-1980-2006-COLLIE",2006,5,9499.56,NA,9499.56,0,NA,0
"28","ADFG-HERRSITKA-1978-2007-COLLIE",1978,5,4748.72,45750,10197.29,0.052,NA,1580
"29","ADFG-HERRSITKA-1978-2007-COLLIE",1979,5,21832.51,77640,55103.51,0.153,NA,26540
"30","ADFG-HERRSITKA-1978-2007-COLLIE",1980,5,39599.82,475050,48608.45,0.15,NA,47830
"31","ADFG-HERRSITKA-1978-2007-COLLIE",1981,5,39084.58,175440,41464.62,0.095,NA,26370
"32","ADFG-HERRSITKA-1978-2007-COLLIE",1982,5,28463.71,68620,32558.12,0.152,NA,33590
"33","ADFG-HERRSITKA-1978-2007-COLLIE",1983,5,36662.7,170860,65048.21,0.171,NA,38280
"34","ADFG-HERRSITKA-1978-2007-COLLIE",1984,5,44341.47,976340,55100.84,0.16,NA,49860
"35","ADFG-HERRSITKA-1978-2007-COLLIE",1985,5,37436.3,100400,41172.79,0.214,NA,53780
"36","ADFG-HERRSITKA-1978-2007-COLLIE",1986,5,29467.48,40750,38920.55,0.193,NA,37850
"37","ADFG-HERRSITKA-1978-2007-COLLIE",1987,5,43744.92,46310,88211.2,0.122,NA,41500
"38","ADFG-HERRSITKA-1978-2007-COLLIE",1988,5,57578.83,927550,65249.34,0.21,NA,105700
"39","ADFG-HERRSITKA-1978-2007-COLLIE",1989,5,38934.73,64280,40780.35,0.317,NA,132990
"40","ADFG-HERRSITKA-1978-2007-COLLIE",1990,5,24920.73,46240,27374.12,0.148,NA,30570
"41","ADFG-HERRSITKA-1978-2007-COLLIE",1991,5,33146.48,75160,69326.78,0.07,NA,23430
"42","ADFG-HERRSITKA-1978-2007-COLLIE",1992,5,55066.2,296470,61437.2,0.125,NA,55370
"43","ADFG-HERRSITKA-1978-2007-COLLIE",1993,5,39332.21,190100,41643.87,0.263,NA,97790
"44","ADFG-HERRSITKA-1978-2007-COLLIE",1994,5,28264.2,311420,31931.53,0.169,NA,35270
"45","ADFG-HERRSITKA-1978-2007-COLLIE",1995,5,32123.1,233950,52322.69,0.103,NA,18460
"46","ADFG-HERRSITKA-1978-2007-COLLIE",1996,5,34864.16,85730,46077.43,0.282,NA,72730
"47","ADFG-HERRSITKA-1978-2007-COLLIE",1997,5,39758.82,218400,57285.45,0,NA,40
"48","ADFG-HERRSITKA-1978-2007-COLLIE",1998,5,41794.53,313230,56671.59,0.195,NA,50200
"49","ADFG-HERRSITKA-1978-2007-COLLIE",1999,5,51877.03,470510,58784.56,0.202,NA,68240
"50","ADFG-HERRSITKA-1978-2007-COLLIE",2000,5,54283.03,244500,66922.23,0.088,NA,33870
"51","ADFG-HERRSITKA-1978-2007-COLLIE",2001,5,70414.73,156650,89747.97,0.185,NA,85780
"52","ADFG-HERRSITKA-1978-2007-COLLIE",2002,5,58172.91,146020,117572.13,0.12,NA,66950
"53","ADFG-HERRSITKA-1978-2007-COLLIE",2003,5,72198.84,109680,131490.2,0.067,NA,43490
"54","ADFG-HERRSITKA-1978-2007-COLLIE",2004,5,87794.21,114380,131565.34,0.088,NA,75750
"55","ADFG-HERRSITKA-1978-2007-COLLIE",2005,5,85901.66,NA,113223.25,0.105,NA,74200
"56","ADFG-HERRSITKA-1978-2007-COLLIE",2006,5,84923.03,NA,106607.21,0.096,NA,66650
"57","ADFG-HERRSITKA-1978-2007-COLLIE",2007,5,82880.44,NA,98398.57,0.118,NA,69610
"58","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1972,5,NA,2101000,NA,NA,NA,NA
"59","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1973,5,NA,3630000,NA,NA,NA,NA
"60","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1974,5,NA,1922000,NA,NA,NA,NA
"61","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1975,5,172125,1896000,1136420,0.013,NA,2492
"62","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1976,5,208732,1831000,1293040,0.017,NA,3620
"63","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1977,5,247863,1327000,1426510,0.01,NA,2589
"64","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1978,5,281912,1495000,1538610,0.032,NA,10420
"65","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1979,5,308075,1445000,1627500,0.035,NA,13672
"66","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1980,5,337365,1532000,1686430,0.016,NA,6902
"67","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1981,5,370607,692000,1718730,0.019,NA,8653
"68","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1982,5,411737,772000,1729330,0.014,NA,6811
"69","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1983,5,443838,1339000,1721590,0.02,NA,10766
"70","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1984,5,469901,877000,1669490,0.031,NA,18982
"71","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1985,5,476423,1099000,1593060,0.038,NA,24888
"72","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1986,5,468456,1727000,1501420,0.069,NA,46519
"73","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1987,5,451535,883000,1430420,0.028,NA,18567
"74","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1988,5,432878,1295000,1324270,0.096,NA,61638
"75","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1989,5,404037,912000,1295700,0.024,NA,14134
"76","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1990,5,387198,1526000,1262020,0.019,NA,10926
"77","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1991,5,369813,1034000,1237030,0.026,NA,15003
"78","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1992,5,350450,1131000,1204320,0.033,NA,18074
